key,family
SRC_CH2_BF_96_ETTH2,table1_per_source_cell
SRC_CH2_BF_96_ETTM1,table1_per_source_cell
SRC_CH2_BF_96_ETTM2,table1_per_source_cell
SRC_CH2_BF_96_EXCH,table1_per_source_cell
SRC_CH2_BF_96_TRAF,table1_per_source_cell
SRC_CH2_BF_96_WEA,table1_per_source_cell
SRC_CH2_KEEP_192_ELEC,table1_per_source_cell
SRC_CH2_KEEP_192_ETTH1,table1_per_source_cell
SRC_CH2_KEEP_192_ETTH2,table1_per_source_cell
SRC_CH2_KEEP_192_ETTM1,table1_per_source_cell
SRC_CH2_KEEP_192_ETTM2,table1_per_source_cell
SRC_CH2_KEEP_192_EXCH,table1_per_source_cell
SRC_CH2_KEEP_192_TRAF,table1_per_source_cell
SRC_CH2_KEEP_192_WEA,table1_per_source_cell
SRC_CH2_KEEP_96_ELEC,table1_per_source_cell
SRC_CH2_KEEP_96_ETTH1,table1_per_source_cell
SRC_CH2_KEEP_96_ETTH2,table1_per_source_cell
SRC_CH2_KEEP_96_ETTM1,table1_per_source_cell
SRC_CH2_KEEP_96_ETTM2,table1_per_source_cell
SRC_CH2_KEEP_96_EXCH,table1_per_source_cell
SRC_CH2_KEEP_96_TRAF,table1_per_source_cell
SRC_CH2_KEEP_96_WEA,table1_per_source_cell
SRC_CH2_ORACLE_192_ELEC,table1_per_source_cell
SRC_CH2_ORACLE_192_ETTH1,table1_per_source_cell
